0.392,60.329,60.33,2.278,3.963,134.893,390.2,1.083,1.125,219.6,1.031,39.627,414.609,75.022,7,0.333,1.889,1.103,136,2,7,118,23,c,3,B2,3.912
0.395,60.485,60.49,1.512,2.631,88.936,327.06,0.727,0.569,176.26,0.801,50.824,387.854,74.116,12,0.75,2.734,1.218,90,3,4,52,13,b2,1.772,A2,2.579
0.4,60.433,60.43,2.149,3.74,127.242,327.06,1.136,1.151,124.351,0.989,45.693,403.063,80.259,8,0.667,2.123,1.206,128,2,6,111.5,19,c,2.41,B1,3.69
0.4,45.413,45.41,1.545,2.688,91.878,327.06,0.906,0.985,102.162,0.779,19.981,242.821,81.755,2,0.5,1.641,1.434,70,1,9,121,18,b2,2.26,B1,2.664
0.4,44.943,44.94,2.248,3.912,128.9,395.748,0.722,0.614,117.908,0.546,85.108,408.944,93.74,17,0.333,2.038,0.793,97,5,4,33.6,19,c,2.482,B1,3.738
0.4,60.564,60.56,2.212,3.848,130.953,399.645,1.262,1.213,253.958,1.276,60.172,406.724,80.023,6,0.167,1.77,1.008,132,2,5,115,19,c,2.45,B1,3.798
0.4,60.355,60.35,2.08,3.619,123.979,327.06,1.076,1.091,117.677,0.93,46.914,423.684,80.354,2,0.5,1.516,1.313,125,1,7,217,21,c,2.61,B2,3.595
0.402,60.276,60.28,2.242,3.901,126.429,384.153,0.929,1.009,197.893,0.908,43.406,398.978,76.046,29,0.476,2.251,0.597,127,9,7,24.6,21,c,2.65,B2,3.666
0.402,60.668,60.67,2.447,4.257,127.318,372.024,1.025,1.077,210.515,0.987,43.185,407.222,77.283,69,0.5,2.818,0.855,129,20,7,11.2,24,c,3.105,B2,3.692
0.408,45.282,45.28,1.751,3.047,101.281,366.005,1.12,1.126,122.627,0.951,51.097,396.096,81.901,10,0.6,1.937,0.748,76,4,6,33.3,16,b2,2.02,B1,2.937
0.408,45.23,45.23,1.76,3.062,103.685,366.005,0.859,0.945,99.484,0.75,20.366,384.589,80.696,6,0.5,1.849,1.056,78,2,8,68,17,b2,2.22,B1,3.007
0.408,60.668,60.67,2.253,3.92,118.792,368.516,1.034,1.057,212.347,0.984,42.588,395.676,84.321,61,0.564,2.716,0.714,120,18,7,11.6,22,c,2.92,B2,3.445
0.41,59.858,59.86,3.068,5.338,173.974,399.645,1.016,0.975,198.471,0.971,59.054,412.501,77.614,15,0.444,1.69,0.486,174,8,10,37.8,29,a,3.96,C,5.045
0.411,61.138,61.14,1.765,3.071,103.778,390.2,0.884,0.972,192.204,0.868,38.791,385.148,77.564,9,0.375,2.005,1.14,106,3,8,61.3,17,b2,2.22,B1,3.01
